2025-02-25 10:37:17,893 - __main__ - INFO - PubMed 검색 시작: 내전근, 검색어: 'adductor muscles AND inner thigh stretching'
2025-02-25 10:37:18,248 - __main__ - INFO - PubMed 검색 결과: 내전근, 0개 논문 ID 발견
2025-02-25 10:37:21,448 - __main__ - INFO - PubMed 검색 시작: 대퇴직근, 검색어: 'rectus femoris AND rectus femoris stretching'
2025-02-25 10:37:21,819 - __main__ - INFO - PubMed 검색 결과: 대퇴직근, 50개 논문 ID 발견
2025-02-25 10:37:21,820 - __main__ - INFO - PubMed 논문 처리 중: 대퇴직근, 1/50
2025-02-25 10:37:24,711 - __main__ - INFO - PubMed 논문 처리 중: 대퇴직근, 11/50
2025-02-25 10:37:27,754 - __main__ - INFO - PubMed 논문 처리 중: 대퇴직근, 21/50
2025-02-25 10:37:31,084 - __main__ - INFO - PubMed 논문 처리 중: 대퇴직근, 31/50
2025-02-25 10:37:36,874 - __main__ - INFO - PubMed 논문 처리 중: 대퇴직근, 41/50
2025-02-25 10:37:43,783 - __main__ - INFO - PubMed 검색 시작: 대퇴직근, 검색어: 'rectus femoris AND quadriceps stretching'
2025-02-25 10:37:44,182 - __main__ - INFO - PubMed 검색 결과: 대퇴직근, 50개 논문 ID 발견
2025-02-25 10:37:44,182 - __main__ - INFO - PubMed 논문 처리 중: 대퇴직근, 1/50
2025-02-25 10:37:47,053 - __main__ - INFO - PubMed 논문 처리 중: 대퇴직근, 11/50
2025-02-25 10:37:50,309 - __main__ - INFO - PubMed 논문 처리 중: 대퇴직근, 21/50
2025-02-25 10:37:55,332 - __main__ - INFO - PubMed 논문 처리 중: 대퇴직근, 31/50
2025-02-25 10:37:58,227 - __main__ - INFO - PubMed 논문 처리 중: 대퇴직근, 41/50
2025-02-25 10:38:04,327 - __main__ - INFO - PubMed 검색 시작: 외측광근, 검색어: 'vastus lateralis AND vastus lateralis stretching'
2025-02-25 10:38:04,719 - __main__ - INFO - PubMed 검색 결과: 외측광근, 50개 논문 ID 발견
2025-02-25 10:38:04,719 - __main__ - INFO - PubMed 논문 처리 중: 외측광근, 1/50
2025-02-25 10:38:08,515 - __main__ - INFO - PubMed 논문 처리 중: 외측광근, 11/50
2025-02-25 10:38:11,376 - __main__ - INFO - PubMed 논문 처리 중: 외측광근, 21/50
2025-02-25 10:38:14,647 - __main__ - INFO - PubMed 논문 처리 중: 외측광근, 31/50
2025-02-25 10:38:17,323 - __main__ - INFO - PubMed 논문 처리 중: 외측광근, 41/50
2025-02-25 10:38:21,237 - __main__ - INFO - PubMed 검색 시작: 외측광근, 검색어: 'vastus lateralis AND outer thigh stretching'
2025-02-25 10:38:22,005 - __main__ - INFO - PubMed 검색 결과: 외측광근, 0개 논문 ID 발견
2025-02-25 10:38:25,197 - __main__ - INFO - PubMed 검색 시작: 내측광근, 검색어: 'vastus medialis AND vastus medialis stretching'
2025-02-25 10:38:25,570 - __main__ - INFO - PubMed 검색 결과: 내측광근, 50개 논문 ID 발견
2025-02-25 10:38:25,570 - __main__ - INFO - PubMed 논문 처리 중: 내측광근, 1/50
2025-02-25 10:38:28,496 - __main__ - INFO - PubMed 논문 처리 중: 내측광근, 11/50
2025-02-25 10:38:31,773 - __main__ - INFO - PubMed 논문 처리 중: 내측광근, 21/50
2025-02-25 10:38:34,930 - __main__ - INFO - PubMed 논문 처리 중: 내측광근, 31/50
2025-02-25 10:38:38,614 - __main__ - INFO - PubMed 논문 처리 중: 내측광근, 41/50
2025-02-25 10:38:42,849 - __main__ - INFO - PubMed 검색 시작: 내측광근, 검색어: 'vastus medialis AND inner thigh stretching'
2025-02-25 10:38:43,214 - __main__ - INFO - PubMed 검색 결과: 내측광근, 0개 논문 ID 발견
2025-02-25 10:38:46,406 - __main__ - INFO - PubMed 검색 시작: 봉공근, 검색어: 'sartorius AND sartorius stretching'
2025-02-25 10:38:46,836 - __main__ - INFO - PubMed 검색 결과: 봉공근, 50개 논문 ID 발견
2025-02-25 10:38:46,836 - __main__ - INFO - PubMed 논문 처리 중: 봉공근, 1/50
2025-02-25 10:38:50,073 - __main__ - INFO - PubMed 논문 처리 중: 봉공근, 11/50
2025-02-25 10:38:53,147 - __main__ - INFO - PubMed 논문 처리 중: 봉공근, 21/50
2025-02-25 10:38:56,433 - __main__ - INFO - PubMed 논문 처리 중: 봉공근, 31/50
2025-02-25 10:38:59,806 - __main__ - INFO - PubMed 논문 처리 중: 봉공근, 41/50
2025-02-25 10:39:03,187 - __main__ - INFO - PubMed 검색 시작: 봉공근, 검색어: 'sartorius AND thigh stretching'
2025-02-25 10:39:03,626 - __main__ - INFO - PubMed 검색 결과: 봉공근, 4개 논문 ID 발견
2025-02-25 10:39:03,627 - __main__ - INFO - PubMed 논문 처리 중: 봉공근, 1/4
2025-02-25 10:39:08,056 - __main__ - INFO - PubMed 검색 시작: 전경골근, 검색어: 'tibialis anterior AND tibialis anterior stretching'
2025-02-25 10:39:08,483 - __main__ - INFO - PubMed 검색 결과: 전경골근, 50개 논문 ID 발견
2025-02-25 10:39:08,484 - __main__ - INFO - PubMed 논문 처리 중: 전경골근, 1/50
2025-02-25 10:39:12,311 - __main__ - INFO - PubMed 논문 처리 중: 전경골근, 11/50
2025-02-25 10:39:16,023 - __main__ - INFO - PubMed 논문 처리 중: 전경골근, 21/50
2025-02-25 10:39:18,991 - __main__ - INFO - PubMed 논문 처리 중: 전경골근, 31/50
2025-02-25 10:39:21,861 - __main__ - INFO - PubMed 논문 처리 중: 전경골근, 41/50
2025-02-25 10:39:26,174 - __main__ - INFO - PubMed 검색 시작: 전경골근, 검색어: 'tibialis anterior AND shin stretching'
2025-02-25 10:39:26,666 - __main__ - INFO - PubMed 검색 결과: 전경골근, 18개 논문 ID 발견
2025-02-25 10:39:26,667 - __main__ - INFO - PubMed 논문 처리 중: 전경골근, 1/18
2025-02-25 10:39:30,092 - __main__ - INFO - PubMed 논문 처리 중: 전경골근, 11/18
2025-02-25 10:39:35,483 - __main__ - INFO - 후면 근육 데이터 수집 시작
2025-02-25 10:39:35,484 - __main__ - INFO - PubMed 검색 시작: 대둔근, 검색어: 'gluteus maximus AND gluteus maximus stretching'
2025-02-25 10:39:35,925 - __main__ - INFO - PubMed 검색 결과: 대둔근, 40개 논문 ID 발견
2025-02-25 10:39:35,925 - __main__ - INFO - PubMed 논문 처리 중: 대둔근, 1/40
2025-02-25 10:39:39,475 - __main__ - INFO - PubMed 논문 처리 중: 대둔근, 11/40
2025-02-25 10:39:42,210 - __main__ - INFO - PubMed 논문 처리 중: 대둔근, 21/40
2025-02-25 10:39:45,244 - __main__ - INFO - PubMed 논문 처리 중: 대둔근, 31/40
2025-02-25 10:39:48,713 - __main__ - INFO - PubMed 검색 시작: 대둔근, 검색어: 'gluteus maximus AND glute stretching'
2025-02-25 10:39:49,058 - __main__ - INFO - PubMed 검색 결과: 대둔근, 0개 논문 ID 발견
2025-02-25 10:39:52,368 - __main__ - INFO - PubMed 검색 시작: 광배근, 검색어: 'latissimus dorsi AND latissimus dorsi stretching'
2025-02-25 10:39:52,762 - __main__ - INFO - PubMed 검색 결과: 광배근, 50개 논문 ID 발견
2025-02-25 10:39:52,762 - __main__ - INFO - PubMed 논문 처리 중: 광배근, 1/50
2025-02-25 10:39:55,810 - __main__ - INFO - PubMed 논문 처리 중: 광배근, 11/50
2025-02-25 10:39:58,519 - __main__ - INFO - PubMed 논문 처리 중: 광배근, 21/50
2025-02-25 10:40:02,212 - __main__ - INFO - PubMed 논문 처리 중: 광배근, 31/50
2025-02-25 10:40:05,357 - __main__ - INFO - PubMed 논문 처리 중: 광배근, 41/50
2025-02-25 10:40:09,301 - __main__ - INFO - PubMed 검색 시작: 광배근, 검색어: 'latissimus dorsi AND back stretching'
2025-02-25 10:40:09,687 - __main__ - INFO - PubMed 검색 결과: 광배근, 49개 논문 ID 발견
2025-02-25 10:40:09,688 - __main__ - INFO - PubMed 논문 처리 중: 광배근, 1/49
2025-02-25 10:40:12,837 - __main__ - INFO - PubMed 논문 처리 중: 광배근, 11/49
2025-02-25 10:40:16,173 - __main__ - INFO - PubMed 논문 처리 중: 광배근, 21/49
2025-02-25 10:40:20,178 - __main__ - INFO - PubMed 논문 처리 중: 광배근, 31/49
2025-02-25 10:40:23,452 - __main__ - INFO - PubMed 논문 처리 중: 광배근, 41/49
2025-02-25 10:40:29,051 - __main__ - INFO - PubMed 검색 시작: 단두, 검색어: 'biceps brachii short head AND biceps stretching'
2025-02-25 10:40:29,427 - __main__ - INFO - PubMed 검색 결과: 단두, 6개 논문 ID 발견
2025-02-25 10:40:29,427 - __main__ - INFO - PubMed 논문 처리 중: 단두, 1/6
2025-02-25 10:40:33,569 - __main__ - INFO - PubMed 검색 시작: 단두, 검색어: 'biceps brachii short head AND arm stretching'
2025-02-25 10:40:33,942 - __main__ - INFO - PubMed 검색 결과: 단두, 3개 논문 ID 발견
2025-02-25 10:40:33,942 - __main__ - INFO - PubMed 논문 처리 중: 단두, 1/3
2025-02-25 10:40:38,134 - __main__ - INFO - PubMed 검색 시작: 장두, 검색어: 'biceps brachii long head AND biceps stretching'
2025-02-25 10:40:38,512 - __main__ - INFO - PubMed 검색 결과: 장두, 8개 논문 ID 발견
2025-02-25 10:40:38,513 - __main__ - INFO - PubMed 논문 처리 중: 장두, 1/8
2025-02-25 10:40:42,149 - __main__ - INFO - PubMed 검색 시작: 장두, 검색어: 'biceps brachii long head AND arm stretching'
2025-02-25 10:40:42,527 - __main__ - INFO - PubMed 검색 결과: 장두, 5개 논문 ID 발견
2025-02-25 10:40:42,528 - __main__ - INFO - PubMed 논문 처리 중: 장두, 1/5
2025-02-25 10:40:47,814 - __main__ - INFO - PubMed 검색 시작: 비복근, 검색어: 'gastrocnemius AND gastrocnemius stretching'
2025-02-25 10:40:48,278 - __main__ - INFO - PubMed 검색 결과: 비복근, 50개 논문 ID 발견
2025-02-25 10:40:48,278 - __main__ - INFO - PubMed 논문 처리 중: 비복근, 1/50
2025-02-25 10:40:51,928 - __main__ - INFO - PubMed 논문 처리 중: 비복근, 11/50
2025-02-25 10:40:55,000 - __main__ - INFO - PubMed 논문 처리 중: 비복근, 21/50
2025-02-25 10:40:58,684 - __main__ - INFO - PubMed 논문 처리 중: 비복근, 31/50
2025-02-25 10:41:01,949 - __main__ - INFO - PubMed 논문 처리 중: 비복근, 41/50
2025-02-25 10:41:06,638 - __main__ - INFO - PubMed 검색 시작: 비복근, 검색어: 'gastrocnemius AND calf stretching'
2025-02-25 10:41:07,129 - __main__ - INFO - PubMed 검색 결과: 비복근, 50개 논문 ID 발견
2025-02-25 10:41:07,129 - __main__ - INFO - PubMed 논문 처리 중: 비복근, 1/50
2025-02-25 10:41:11,456 - __main__ - INFO - PubMed 논문 처리 중: 비복근, 11/50
2025-02-25 10:41:15,237 - __main__ - INFO - PubMed 논문 처리 중: 비복근, 21/50
2025-02-25 10:41:18,766 - __main__ - INFO - PubMed 논문 처리 중: 비복근, 31/50
2025-02-25 10:41:21,856 - __main__ - INFO - PubMed 논문 처리 중: 비복근, 41/50
2025-02-25 10:41:27,717 - __main__ - INFO - PubMed 검색 시작: 반건양근, 검색어: 'semitendinosus AND semitendinosus stretching'
2025-02-25 10:41:28,194 - __main__ - INFO - PubMed 검색 결과: 반건양근, 50개 논문 ID 발견
2025-02-25 10:41:28,195 - __main__ - INFO - PubMed 논문 처리 중: 반건양근, 1/50
2025-02-25 10:41:31,941 - __main__ - INFO - PubMed 논문 처리 중: 반건양근, 11/50
2025-02-25 10:41:35,248 - __main__ - INFO - PubMed 논문 처리 중: 반건양근, 21/50
2025-02-25 10:41:38,345 - __main__ - INFO - PubMed 논문 처리 중: 반건양근, 31/50
2025-02-25 10:41:41,063 - __main__ - INFO - PubMed 논문 처리 중: 반건양근, 41/50
2025-02-25 10:41:46,202 - __main__ - INFO - PubMed 검색 시작: 반건양근, 검색어: 'semitendinosus AND hamstring stretching'
2025-02-25 10:41:47,071 - __main__ - INFO - PubMed 검색 결과: 반건양근, 50개 논문 ID 발견
2025-02-25 10:41:47,072 - __main__ - INFO - PubMed 논문 처리 중: 반건양근, 1/50
2025-02-25 10:41:50,525 - __main__ - INFO - PubMed 논문 처리 중: 반건양근, 11/50
2025-02-25 10:41:53,836 - __main__ - INFO - PubMed 논문 처리 중: 반건양근, 21/50
2025-02-25 10:41:56,553 - __main__ - INFO - PubMed 논문 처리 중: 반건양근, 31/50
2025-02-25 10:42:00,809 - __main__ - INFO - PubMed 논문 처리 중: 반건양근, 41/50
2025-02-25 10:42:07,023 - __main__ - INFO - PubMed 검색 시작: 삼각근, 검색어: 'deltoid AND deltoid stretching'
2025-02-25 10:42:07,391 - __main__ - INFO - PubMed 검색 결과: 삼각근, 50개 논문 ID 발견
2025-02-25 10:42:07,392 - __main__ - INFO - PubMed 논문 처리 중: 삼각근, 1/50
2025-02-25 10:42:10,873 - __main__ - INFO - PubMed 논문 처리 중: 삼각근, 11/50
2025-02-25 10:42:15,014 - __main__ - INFO - PubMed 논문 처리 중: 삼각근, 21/50
2025-02-25 10:42:19,104 - __main__ - INFO - PubMed 논문 처리 중: 삼각근, 31/50
2025-02-25 10:42:22,557 - __main__ - INFO - PubMed 논문 처리 중: 삼각근, 41/50
2025-02-25 10:42:26,254 - __main__ - INFO - PubMed 검색 시작: 삼각근, 검색어: 'deltoid AND shoulder stretching'
2025-02-25 10:42:26,630 - __main__ - INFO - PubMed 검색 결과: 삼각근, 50개 논문 ID 발견
2025-02-25 10:42:26,630 - __main__ - INFO - PubMed 논문 처리 중: 삼각근, 1/50
2025-02-25 10:42:30,563 - __main__ - INFO - PubMed 논문 처리 중: 삼각근, 11/50
2025-02-25 10:42:34,319 - __main__ - INFO - PubMed 논문 처리 중: 삼각근, 21/50
2025-02-25 10:42:36,986 - __main__ - INFO - PubMed 논문 처리 중: 삼각근, 31/50
2025-02-25 10:42:39,392 - __main__ - INFO - PubMed 논문 처리 중: 삼각근, 41/50
2025-02-25 10:42:45,150 - __main__ - INFO - PubMed 검색 시작: 삼두근, 검색어: 'triceps brachii AND triceps stretching'
2025-02-25 10:42:45,516 - __main__ - INFO - PubMed 검색 결과: 삼두근, 50개 논문 ID 발견
2025-02-25 10:42:45,516 - __main__ - INFO - PubMed 논문 처리 중: 삼두근, 1/50
2025-02-25 10:42:50,342 - __main__ - INFO - PubMed 논문 처리 중: 삼두근, 11/50
2025-02-25 10:42:52,887 - __main__ - INFO - PubMed 논문 처리 중: 삼두근, 21/50
2025-02-25 10:42:55,680 - __main__ - INFO - PubMed 논문 처리 중: 삼두근, 31/50
